"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipStreamSynchronize",141,527490676,3741068.624113,43.50,311,7599758,2194064.304694
"hipStreamCreate",1,247027604,247027604.000000,20.37,247027604,247027604,0.00000000e+00
"hipMemcpyHtoD",72,199863283,2775878.930556,16.48,15229,30451532,8238959.450376
"hipMemcpyDtoH",6,149490703,24915117.166667,12.33,24533551,26733028,890775.853830
"hipRuntimeGetVersion",1,81268490,81268490.000000,6.70,81268490,81268490,0.00000000e+00
"hipModuleLoadData",1,5560184,5560184.000000,0.4585,5560184,5560184,0.00000000e+00
"hipMalloc",25,724900,28996.000000,0.0598,2044,355683,69974.259155
"hipModuleLaunchKernel",135,714964,5296.029630,0.0590,4429,17043,1121.587141
"hipHostMalloc",1,348681,348681.000000,0.0288,348681,348681,0.00000000e+00
"hipModuleGetGlobal",34,37126,1091.941176,3.062e-03,741,4368,713.038948
"hipModuleOccupancyMaxPotentialBlockSize",135,26556,196.711111,2.190e-03,120,721,91.414495
"hipModuleGetFunction",7,21570,3081.428571,1.779e-03,1793,8546,2424.409884
"hipEventCreate",34,11743,345.382353,9.684e-04,120,1873,416.440910
"hipFuncGetAttribute",14,5391,385.071429,4.446e-04,70,2034,515.662601
"hipDeviceGetAttribute",1,5210,5210.000000,4.297e-04,5210,5210,0.00000000e+00
"hipGetDeviceCount",1,3447,3447.000000,2.843e-04,3447,3447,0.00000000e+00
"hipDeviceGet",2,2916,1458.000000,2.405e-04,1163,1753,417.193001
"hipPointerGetAttributes",1,2425,2425.000000,2.000e-04,2425,2425,0.00000000e+00
"hipDeviceGetName",1,1503,1503.000000,1.239e-04,1503,1503,0.00000000e+00
"hipDeviceComputeCapability",1,1272,1272.000000,1.049e-04,1272,1272,0.00000000e+00
"hipGetDevicePropertiesR0600",1,1142,1142.000000,9.418e-05,1142,1142,0.00000000e+00
"hipFuncSetCacheConfig",7,1002,143.142857,8.263e-05,80,441,131.816070
