Dispatch_ID,Kernel_Name,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,wave_size_1,obj_1,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,wave_size_2,obj_2,SQ_LDS_IDX_ACTIVE,SQ_LDS_BANK_CONFLICT,Start_Timestamp,End_Timestamp
0,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610460928,769531610467008
1,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,8.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610547168,769531610549888
2,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610611329,769531610614049
3,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,8.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610677570,769531610680450
4,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610726530,769531610731330
5,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610753891,769531610758531
6,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610780771,769531610785571
7,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610804931,769531610809891
8,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610838212,769531610841572
9,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531610863972,769531610865892
