Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,4,1,0,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610405173,769531610460928,769531610467008,769531610479283
1,__amd_rocclr_copyBuffer.kd,4,1,2,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610513468,769531610547168,769531610549888,769531610563373
2,__amd_rocclr_copyBuffer.kd,4,1,4,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610600803,769531610611329,769531610614049,769531610616473
3,__amd_rocclr_copyBuffer.kd,4,1,6,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610667820,769531610677570,769531610680450,769531610680945
4,__amd_rocclr_copyBuffer.kd,4,1,8,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610717264,769531610726530,769531610731330,769531610732273
5,__amd_rocclr_copyBuffer.kd,4,1,10,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610745568,769531610753891,769531610758531,769531610760115
6,__amd_rocclr_copyBuffer.kd,4,1,12,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610772068,769531610780771,769531610785571,769531610787427
7,__amd_rocclr_copyBuffer.kd,4,1,14,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610798628,769531610804931,769531610809891,769531610812224
8,__amd_rocclr_copyBuffer.kd,4,1,16,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610829417,769531610838212,769531610841572,769531610843433
9,__amd_rocclr_copyBuffer.kd,4,1,18,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610854053,769531610863972,769531610865892,769531610866727
10,__amd_rocclr_copyBuffer.kd,4,1,20,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610877838,769531610884132,769531610887332,769531610888328
11,__amd_rocclr_copyBuffer.kd,4,1,22,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610901483,769531610909572,769531610913252,769531610913937
12,__amd_rocclr_copyBuffer.kd,4,1,24,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610924727,769531610931173,769531610934533,769531610935197
13,__amd_rocclr_copyBuffer.kd,4,1,26,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610949274,769531610959813,769531610964453,769531610964763
14,__amd_rocclr_copyBuffer.kd,4,1,28,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531610977768,769531610986693,769531610991173,769531610992155
15,__amd_rocclr_copyBuffer.kd,4,1,30,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531611004128,769531611010853,769531611015654,769531611015820
16,__amd_rocclr_copyBuffer.kd,4,1,32,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531611027873,769531611034854,769531611038854,769531611039525
17,__amd_rocclr_copyBuffer.kd,4,1,34,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531611050525,769531611056934,769531611060134,769531611060184
18,__amd_rocclr_copyBuffer.kd,4,1,36,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531611072587,769531611079174,769531611081094,769531611081374
19,__amd_rocclr_copyBuffer.kd,4,1,43,1726808,1726808,1024,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643408846,769531643423056,769531643428816,769531643428964
20,__amd_rocclr_copyBuffer.kd,4,1,45,1726808,1726808,1024,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643439664,769531643446576,769531643450736,769531643451787
21,__amd_rocclr_copyBuffer.kd,4,1,47,1726808,1726808,1024,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643460173,769531643467216,769531643471536,769531643472476
22,__amd_rocclr_copyBuffer.kd,4,1,49,1726808,1726808,1024,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643480932,769531643487857,769531643492497,769531643493576
23,__amd_rocclr_copyBuffer.kd,4,1,56,1726808,1726808,1024,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643604927,769531643615378,769531643619218,769531643619806
24,__amd_rocclr_copyBuffer.kd,4,1,58,1726808,1726808,1024,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643629444,769531643636338,769531643640178,769531643640565
25,__amd_rocclr_copyBuffer.kd,4,1,60,1726808,1726808,512,512,0,0,20,4,32,64,0x0,0x7fffe1275dc0,769531643648660,769531643655058,769531643659538,769531643660122
